¸ËËþÇø¼ä	¾àÀëÐ¡ºÅ¸ËËþ¾àÀë	x	y	z	Î£ÏÕµãÀàÐÍ	Ë®Æ½¾àÀë	´¹Ö±¾àÀë	¾»¿Õ¾àÀë	
13-14	112.97	452559.53	2873241.00	1767.93	Ê÷Ä¾	4.45	3.88	5.91	
13-14	112.67	452559.09	2873241.00	1767.88	Ê÷Ä¾	4.22	3.85	5.71	
13-14	112.67	452559.38	2873241.25	1768.18	Ê÷Ä¾	4.46	3.63	5.75	
13-14	112.57	452558.38	2873240.50	1767.94	Ê÷Ä¾	3.36	3.79	5.07	
13-14	112.49	452558.81	2873241.00	1767.76	Ê÷Ä¾	4.03	3.97	5.66	
13-14	112.57	452558.94	2873241.00	1768.28	Ê÷Ä¾	4.11	3.45	5.37	
13-14	112.53	452559.16	2873241.25	1768.62	Ê÷Ä¾	4.44	3.11	5.42	
13-14	112.28	452558.78	2873241.25	1768.26	Ê÷Ä¾	4.20	3.47	5.45	
13-14	112.24	452559.00	2873241.50	1768.55	Ê÷Ä¾	4.31	3.26	5.40	
13-14	112.14	452558.84	2873241.50	1768.20	Ê÷Ä¾	4.43	3.53	5.67	
13-14	112.24	452559.00	2873241.50	1768.66	Ê÷Ä¾	4.31	3.15	5.33	
13-14	113.90	452558.13	2873238.50	1765.51	µØÃæ	1.78	6.07	6.32	
13-14	113.69	452557.81	2873238.50	1765.52	µØÃæ	1.53	6.06	6.25	
13-14	113.46	452557.19	2873238.25	1765.29	µØÃæ	0.92	6.29	6.36	
13-14	113.48	452558.06	2873239.00	1765.65	µØÃæ	1.98	5.94	6.26	
13-14	113.15	452557.84	2873239.25	1765.74	µØÃæ	1.99	5.85	6.18	
13-14	113.07	452557.44	2873239.00	1765.23	µØÃæ	1.69	6.35	6.57	
13-14	113.11	452557.50	2873239.00	1765.67	µØÃæ	1.72	5.91	6.16	
13-14	113.96	452559.63	2873239.75	1768.03	Ê÷Ä¾	3.73	3.55	5.15	
13-14	113.84	452560.00	2873240.25	1768.02	Ê÷Ä¾	4.33	3.56	5.61	
13-14	113.96	452560.19	2873240.25	1769.88	Ê÷Ä¾	4.48	1.70	4.79	
13-14	113.73	452559.56	2873240.00	1768.45	Ê÷Ä¾	3.83	3.13	4.95	
13-14	113.78	452559.91	2873240.25	1769.71	Ê÷Ä¾	4.26	1.87	4.65	
13-14	113.88	452560.06	2873240.25	1769.92	Ê÷Ä¾	4.38	1.66	4.68	
13-14	113.63	452559.13	2873239.75	1767.78	Ê÷Ä¾	3.34	3.80	5.06	
13-14	113.61	452559.38	2873240.00	1768.28	Ê÷Ä¾	3.69	3.30	4.95	
13-14	113.44	452559.69	2873240.50	1768.36	Ê÷Ä¾	4.26	3.22	5.34	
13-14	113.65	452559.72	2873240.25	1770.12	Ê÷Ä¾	4.12	1.46	4.37	
13-14	113.30	452558.91	2873240.00	1767.75	Ê÷Ä¾	3.36	3.83	5.10	
13-14	113.38	452559.31	2873240.25	1767.66	Ê÷Ä¾	3.82	3.92	5.48	
13-14	113.36	452559.56	2873240.50	1767.89	Ê÷Ä¾	4.18	3.69	5.57	
13-14	113.15	452558.41	2873239.75	1767.68	Ê÷Ä¾	2.85	3.90	4.83	
13-14	113.05	452559.09	2873240.50	1767.87	Ê÷Ä¾	3.87	3.71	5.36	
13-14	113.07	452559.41	2873240.75	1767.93	Ê÷Ä¾	4.26	3.65	5.61	
13-14	113.07	452559.13	2873240.50	1768.01	Ê÷Ä¾	3.89	3.57	5.28	
13-14	113.96	452559.63	2873239.75	1768.03	Ê÷Ä¾	3.73	3.55	5.15	
13-14	113.84	452560.00	2873240.25	1768.02	Ê÷Ä¾	4.33	3.56	5.61	
13-14	113.96	452560.19	2873240.25	1769.88	Ê÷Ä¾	4.48	1.70	4.79	
13-14	113.73	452559.56	2873240.00	1768.45	Ê÷Ä¾	3.83	3.13	4.95	
13-14	113.78	452559.91	2873240.25	1769.71	Ê÷Ä¾	4.26	1.87	4.65	
