¸ËËþÇø¼ä	¾àÀëÐ¡ºÅ¸ËËþ¾àÀë	x	y	z	Î£ÏÕµãÀàÐÍ	Ë®Æ½¾àÀë	´¹Ö±¾àÀë	¾»¿Õ¾àÀë	
13-14	116.87	452561.75	2873237.75	1768.13	Ê÷Ä¾	3.95	3.01	4.97	
13-14	116.79	452561.91	2873238.00	1768.59	Ê÷Ä¾	4.23	2.55	4.94	
13-14	116.93	452562.13	2873238.00	1768.93	Ê÷Ä¾	4.40	2.21	4.93	
13-14	116.58	452561.03	2873237.50	1767.71	Ê÷Ä¾	3.25	3.43	4.72	
13-14	116.43	452561.38	2873238.00	1767.72	Ê÷Ä¾	3.85	3.42	5.15	
13-14	116.58	452561.59	2873238.00	1768.18	Ê÷Ä¾	4.00	2.96	4.98	
13-14	116.43	452561.09	2873237.75	1767.79	Ê÷Ä¾	3.47	3.35	4.82	
13-14	116.41	452561.34	2873238.00	1768.11	Ê÷Ä¾	3.82	3.03	4.88	
13-14	116.27	452561.69	2873238.50	1768.16	Ê÷Ä¾	4.42	2.98	5.33	
13-14	116.33	452561.78	2873238.50	1769.70	Ê÷Ä¾	4.49	1.44	4.71	
13-14	116.18	452560.72	2873237.75	1767.58	Ê÷Ä¾	3.22	3.56	4.80	
13-14	116.18	452561.00	2873238.00	1767.84	Ê÷Ä¾	3.59	3.30	4.88	
13-14	116.04	452561.34	2873238.50	1768.01	Ê÷Ä¾	4.20	3.13	5.24	
13-14	116.06	452561.66	2873238.75	1768.22	Ê÷Ä¾	4.45	2.92	5.32	
13-14	116.20	452561.31	2873238.25	1769.76	Ê÷Ä¾	3.99	1.38	4.22	
13-14	117.85	452560.13	2873235.00	1765.36	µØÃæ	0.98	5.60	5.68	
13-14	117.82	452560.38	2873235.25	1765.71	µØÃæ	1.33	5.25	5.42	
13-14	117.70	452560.19	2873235.25	1765.55	µØÃæ	1.21	5.41	5.54	
13-14	117.66	452558.16	2873233.50	1764.48	µØÃæ	1.54	6.48	6.66	
13-14	117.55	452559.97	2873235.25	1765.15	µØÃæ	1.10	5.81	5.91	
13-14	117.51	452557.94	2873233.50	1764.50	µØÃæ	1.73	6.46	6.69	
13-14	117.41	452558.34	2873234.00	1764.58	µØÃæ	1.18	6.38	6.49	
13-14	117.08	452559.53	2873235.50	1765.01	µØÃæ	1.25	5.95	6.08	
13-14	117.01	452560.28	2873236.25	1766.27	µØÃæ	1.86	4.77	5.12	
13-14	117.95	452562.25	2873236.75	1767.47	Ê÷Ä¾	3.72	3.49	5.10	
13-14	117.89	452562.72	2873237.25	1768.15	Ê÷Ä¾	4.40	2.81	5.22	
13-14	117.74	452561.94	2873236.75	1767.50	Ê÷Ä¾	3.49	3.46	4.92	
13-14	117.66	452562.38	2873237.25	1767.80	Ê÷Ä¾	4.16	3.16	5.22	
13-14	117.60	452562.56	2873237.50	1768.23	Ê÷Ä¾	4.47	2.73	5.23	
13-14	117.66	452561.25	2873236.25	1767.09	Ê÷Ä¾	2.66	3.87	4.69	
13-14	117.57	452561.69	2873236.75	1767.24	Ê÷Ä¾	3.32	3.72	4.99	
13-14	117.49	452562.13	2873237.25	1767.60	Ê÷Ä¾	3.99	3.36	5.21	
13-14	117.47	452562.38	2873237.50	1767.90	Ê÷Ä¾	4.34	3.06	5.31	
13-14	117.30	452561.56	2873237.00	1767.18	Ê÷Ä¾	3.44	3.78	5.11	
13-14	117.33	452561.88	2873237.25	1767.43	Ê÷Ä¾	3.83	3.53	5.21	
13-14	117.30	452562.13	2873237.50	1767.90	Ê÷Ä¾	4.18	3.06	5.18	
13-14	117.35	452562.19	2873237.50	1768.58	Ê÷Ä¾	4.22	2.38	4.84	
13-14	117.08	452560.94	2873236.75	1767.00	Ê÷Ä¾	2.88	3.96	4.90	
13-14	117.57	452562.25	2873237.25	1767.10	Ê÷Ä¾	4.07	3.86	5.61	
13-14	117.35	452561.91	2873237.25	1766.99	Ê÷Ä¾	3.85	3.97	5.53	
13-14	117.95	452562.25	2873236.75	1767.47	Ê÷Ä¾	3.72	3.49	5.10	
13-14	117.89	452562.72	2873237.25	1768.15	Ê÷Ä¾	4.40	2.81	5.22	
13-14	117.74	452561.94	2873236.75	1767.50	Ê÷Ä¾	3.49	3.46	4.92	
13-14	117.66	452562.38	2873237.25	1767.80	Ê÷Ä¾	4.16	3.16	5.22	
13-14	117.60	452562.56	2873237.50	1768.23	Ê÷Ä¾	4.47	2.73	5.23	
13-14	117.66	452561.25	2873236.25	1767.09	Ê÷Ä¾	2.66	3.87	4.69	
13-14	117.57	452561.69	2873236.75	1767.24	Ê÷Ä¾	3.32	3.72	4.99	
13-14	117.49	452562.13	2873237.25	1767.60	Ê÷Ä¾	3.99	3.36	5.21	
13-14	117.47	452562.38	2873237.50	1767.90	Ê÷Ä¾	4.34	3.06	5.31	
13-14	117.30	452561.56	2873237.00	1767.18	Ê÷Ä¾	3.44	3.78	5.11	
13-14	117.33	452561.88	2873237.25	1767.43	Ê÷Ä¾	3.83	3.53	5.21	
13-14	117.30	452562.13	2873237.50	1767.90	Ê÷Ä¾	4.18	3.06	5.18	
13-14	117.35	452562.19	2873237.50	1768.58	Ê÷Ä¾	4.22	2.38	4.84	
13-14	117.08	452560.94	2873236.75	1767.00	Ê÷Ä¾	2.88	3.96	4.90	
13-14	117.57	452562.25	2873237.25	1767.10	Ê÷Ä¾	4.07	3.86	5.61	
13-14	117.35	452561.91	2873237.25	1766.99	Ê÷Ä¾	3.85	3.97	5.53	
13-14	118.88	452560.28	2873233.75	1764.92	µØÃæ	0.13	5.87	5.87	
13-14	118.86	452560.81	2873234.25	1765.73	µØÃæ	0.83	5.06	5.13	
13-14	118.78	452561.25	2873234.75	1766.02	µØÃæ	1.48	4.77	4.99	
13-14	118.49	452560.25	2873234.25	1765.45	µØÃæ	0.51	5.34	5.36	
13-14	118.45	452560.75	2873234.75	1765.69	µØÃæ	1.16	5.10	5.23	
13-14	118.53	452561.16	2873235.00	1766.18	µØÃæ	1.60	4.61	4.88	
13-14	118.49	452561.38	2873235.25	1766.24	µØÃæ	1.93	4.55	4.94	
13-14	118.55	452558.66	2873232.75	1764.37	µØÃæ	1.80	6.42	6.67	
13-14	118.45	452560.19	2873234.25	1765.45	µØÃæ	0.50	5.34	5.36	
13-14	118.32	452560.56	2873234.75	1765.86	µØÃæ	1.08	4.93	5.05	
13-14	118.34	452560.88	2873235.00	1765.86	µØÃæ	1.44	4.93	5.14	
13-14	118.30	452561.09	2873235.25	1766.18	µØÃæ	1.77	4.61	4.94	
13-14	118.18	452560.34	2873234.75	1765.71	µØÃæ	1.02	5.08	5.18	
13-14	118.14	452560.56	2873235.00	1765.79	µØÃæ	1.31	5.00	5.17	
13-14	118.09	452561.06	2873235.50	1766.16	µØÃæ	1.97	4.63	5.03	
13-14	118.14	452558.31	2873233.00	1764.43	µØÃæ	1.99	6.36	6.66	
13-14	118.90	452563.13	2873236.25	1767.96	Ê÷Ä¾	3.88	2.83	4.80	
13-14	118.88	452563.38	2873236.50	1768.21	Ê÷Ä¾	4.23	2.58	4.96	
13-14	118.65	452562.75	2873236.25	1767.85	Ê÷Ä¾	3.60	2.94	4.65	
13-14	118.55	452563.16	2873236.75	1768.01	Ê÷Ä¾	4.24	2.78	5.07	
13-14	118.34	452562.56	2873236.50	1767.73	Ê÷Ä¾	3.65	3.06	4.77	
13-14	118.20	452561.78	2873236.00	1766.88	Ê÷Ä¾	2.78	3.91	4.79	
13-14	118.24	452562.13	2873236.25	1767.01	Ê÷Ä¾	3.18	3.78	4.94	
13-14	118.63	452563.00	2873236.50	1767.17	Ê÷Ä¾	3.96	3.62	5.36	
13-14	118.28	452562.47	2873236.50	1767.05	Ê÷Ä¾	3.59	3.74	5.19	
13-14	118.90	452563.13	2873236.25	1767.96	Ê÷Ä¾	3.88	2.83	4.80	
13-14	118.88	452563.38	2873236.50	1768.21	Ê÷Ä¾	4.23	2.58	4.96	
13-14	118.65	452562.75	2873236.25	1767.85	Ê÷Ä¾	3.60	2.94	4.65	
13-14	118.55	452563.16	2873236.75	1768.01	Ê÷Ä¾	4.24	2.78	5.07	
13-14	118.34	452562.56	2873236.50	1767.73	Ê÷Ä¾	3.65	3.06	4.77	
13-14	118.20	452561.78	2873236.00	1766.88	Ê÷Ä¾	2.78	3.91	4.79	
13-14	118.24	452562.13	2873236.25	1767.01	Ê÷Ä¾	3.18	3.78	4.94	
13-14	118.63	452563.00	2873236.50	1767.17	Ê÷Ä¾	3.96	3.62	5.36	
13-14	118.28	452562.47	2873236.50	1767.05	Ê÷Ä¾	3.59	3.74	5.19	
13-14	119.98	452560.25	2873232.25	1764.63	µØÃæ	1.26	6.08	6.21	
13-14	119.90	452561.53	2873233.50	1765.38	µØÃæ	1.13	5.33	5.45	
13-14	119.55	452561.00	2873233.50	1765.30	µØÃæ	0.59	5.41	5.44	
13-14	119.53	452562.09	2873234.50	1766.10	µØÃæ	1.96	4.61	5.01	
13-14	119.44	452560.00	2873232.75	1764.99	µØÃæ	0.85	5.72	5.78	
13-14	119.30	452560.91	2873233.75	1765.20	µØÃæ	0.56	5.51	5.54	
13-14	119.28	452561.72	2873234.50	1765.68	µØÃæ	1.65	5.03	5.29	
13-14	119.24	452559.69	2873232.75	1764.89	µØÃæ	1.04	5.82	5.91	
13-14	119.15	452561.25	2873234.25	1765.88	µØÃæ	1.13	4.83	4.96	
13-14	119.13	452561.50	2873234.50	1765.89	µØÃæ	1.48	4.82	5.04	
13-14	119.05	452561.66	2873234.75	1766.12	µØÃæ	1.77	4.59	4.92	
13-14	119.98	452563.91	2873235.50	1767.50	Ê÷Ä¾	4.03	3.21	5.15	
13-14	119.90	452564.06	2873235.75	1767.93	Ê÷Ä¾	4.29	2.78	5.11	
13-14	119.78	452563.59	2873235.50	1767.76	Ê÷Ä¾	3.76	2.95	4.78	
13-14	119.73	452563.81	2873235.75	1768.06	Ê÷Ä¾	4.08	2.65	4.87	
13-14	119.69	452564.03	2873236.00	1768.37	Ê÷Ä¾	4.40	2.34	4.99	
13-14	119.44	452563.09	2873235.50	1767.25	Ê÷Ä¾	3.35	3.46	4.82	
13-14	119.40	452563.59	2873236.00	1767.99	Ê÷Ä¾	4.05	2.72	4.88	
13-14	119.44	452563.94	2873236.25	1768.04	Ê÷Ä¾	4.48	2.67	5.21	
13-14	119.15	452562.94	2873235.75	1767.18	Ê÷Ä¾	3.39	3.53	4.89	
13-14	119.19	452563.28	2873236.00	1768.41	Ê÷Ä¾	3.81	2.30	4.45	
13-14	119.11	452563.72	2873236.50	1768.49	Ê÷Ä¾	4.47	2.22	4.99	
13-14	119.65	452563.41	2873235.50	1766.78	Ê÷Ä¾	3.61	3.93	5.33	
13-14	119.24	452563.06	2873235.75	1766.77	Ê÷Ä¾	3.48	3.94	5.26	
13-14	119.98	452563.91	2873235.50	1767.50	Ê÷Ä¾	4.03	3.21	5.15	
13-14	119.90	452564.06	2873235.75	1767.93	Ê÷Ä¾	4.29	2.78	5.11	
13-14	119.78	452563.59	2873235.50	1767.76	Ê÷Ä¾	3.76	2.95	4.78	
13-14	119.73	452563.81	2873235.75	1768.06	Ê÷Ä¾	4.08	2.65	4.87	
13-14	119.69	452564.03	2873236.00	1768.37	Ê÷Ä¾	4.40	2.34	4.99	
13-14	119.44	452563.09	2873235.50	1767.25	Ê÷Ä¾	3.35	3.46	4.82	
13-14	119.40	452563.59	2873236.00	1767.99	Ê÷Ä¾	4.05	2.72	4.88	
13-14	119.44	452563.94	2873236.25	1768.04	Ê÷Ä¾	4.48	2.67	5.21	
13-14	119.15	452562.94	2873235.75	1767.18	Ê÷Ä¾	3.39	3.53	4.89	
13-14	119.19	452563.28	2873236.00	1768.41	Ê÷Ä¾	3.81	2.30	4.45	
13-14	119.11	452563.72	2873236.50	1768.49	Ê÷Ä¾	4.47	2.22	4.99	
13-14	119.65	452563.41	2873235.50	1766.78	Ê÷Ä¾	3.61	3.93	5.33	
13-14	119.24	452563.06	2873235.75	1766.77	Ê÷Ä¾	3.48	3.94	5.26	
13-14	120.94	452562.53	2873233.00	1765.63	µØÃæ	1.38	4.89	5.08	
13-14	120.86	452560.44	2873231.25	1764.10	µØÃæ	1.37	6.42	6.56	
13-14	120.81	452560.94	2873231.75	1764.61	µØÃæ	0.66	5.91	5.95	
13-14	120.88	452561.59	2873232.25	1764.95	µØÃæ	0.22	5.57	5.57	
13-14	120.88	452561.88	2873232.50	1765.42	µØÃæ	0.56	5.10	5.13	
13-14	120.73	452562.78	2873233.50	1765.70	µØÃæ	1.88	4.82	5.17	
13-14	120.75	452560.00	2873231.00	1764.14	µØÃæ	1.86	6.38	6.65	
13-14	120.71	452560.22	2873231.25	1764.23	µØÃæ	1.53	6.29	6.47	
13-14	120.73	452560.81	2873231.75	1764.50	µØÃæ	0.75	6.02	6.07	
13-14	120.63	452560.94	2873232.00	1764.76	µØÃæ	0.50	5.76	5.78	
13-14	120.61	452561.19	2873232.25	1765.05	µØÃæ	0.19	5.47	5.47	
13-14	120.48	452561.56	2873232.75	1764.98	µØÃæ	0.53	5.54	5.57	
13-14	120.59	452561.72	2873232.75	1765.47	µØÃæ	0.61	5.05	5.09	
13-14	120.59	452562.28	2873233.25	1765.66	µØÃæ	1.35	4.86	5.04	
13-14	120.54	452562.78	2873233.75	1765.96	µØÃæ	1.93	4.59	4.98	
13-14	120.67	452559.88	2873231.00	1764.32	µØÃæ	1.95	6.20	6.50	
13-14	120.61	452560.34	2873231.50	1764.34	µØÃæ	1.28	6.18	6.31	
13-14	120.54	452560.81	2873232.00	1764.82	µØÃæ	0.62	5.70	5.73	
13-14	120.42	452561.19	2873232.50	1764.97	µØÃæ	0.31	5.55	5.56	
13-14	120.44	452561.50	2873232.75	1765.10	µØÃæ	0.52	5.42	5.44	
13-14	120.34	452561.63	2873233.00	1765.37	µØÃæ	0.79	5.15	5.21	
13-14	120.34	452562.47	2873233.75	1765.97	µØÃæ	1.86	4.55	4.91	
13-14	120.27	452560.41	2873232.00	1764.65	µØÃæ	1.00	5.87	5.95	
13-14	120.21	452561.16	2873232.75	1765.13	µØÃæ	0.55	5.39	5.42	
13-14	120.19	452561.41	2873233.00	1765.24	µØÃæ	0.75	5.28	5.33	
13-14	120.05	452561.75	2873233.50	1765.66	µØÃæ	1.31	4.86	5.03	
13-14	120.11	452559.59	2873231.50	1764.21	µØÃæ	1.93	6.31	6.60	
13-14	120.03	452560.59	2873232.50	1765.09	µØÃæ	0.82	5.43	5.49	
13-14	120.03	452561.16	2873233.00	1765.42	µØÃæ	0.78	5.10	5.16	
13-14	120.85	452564.66	2873235.00	1767.64	Ê÷Ä¾	4.28	2.88	5.16	
13-14	120.65	452564.34	2873235.00	1767.60	Ê÷Ä¾	4.05	2.92	4.99	
13-14	120.25	452564.31	2873235.50	1767.78	Ê÷Ä¾	4.38	2.74	5.17	
13-14	120.17	452563.91	2873235.25	1767.61	Ê÷Ä¾	3.93	2.91	4.89	
13-14	120.15	452564.16	2873235.50	1767.90	Ê÷Ä¾	4.28	2.62	5.02	
13-14	120.29	452564.38	2873235.50	1768.36	Ê÷Ä¾	4.42	2.16	4.92	
13-14	120.59	452563.97	2873234.75	1766.83	Ê÷Ä¾	3.60	3.69	5.16	
13-14	120.38	452563.66	2873234.75	1766.56	Ê÷Ä¾	3.38	3.96	5.21	
13-14	120.38	452563.94	2873235.00	1766.95	Ê÷Ä¾	3.76	3.57	5.18	
13-14	120.29	452563.53	2873234.75	1766.54	Ê÷Ä¾	3.30	3.98	5.17	
13-14	120.23	452563.72	2873235.00	1766.71	Ê÷Ä¾	3.61	3.81	5.25	
13-14	120.85	452564.66	2873235.00	1767.64	Ê÷Ä¾	4.28	2.88	5.16	
13-14	120.65	452564.34	2873235.00	1767.60	Ê÷Ä¾	4.05	2.92	4.99	
13-14	120.25	452564.31	2873235.50	1767.78	Ê÷Ä¾	4.38	2.74	5.17	
13-14	120.17	452563.91	2873235.25	1767.61	Ê÷Ä¾	3.93	2.91	4.89	
13-14	120.15	452564.16	2873235.50	1767.90	Ê÷Ä¾	4.28	2.62	5.02	
13-14	120.29	452564.38	2873235.50	1768.36	Ê÷Ä¾	4.42	2.16	4.92	
13-14	120.59	452563.97	2873234.75	1766.83	Ê÷Ä¾	3.60	3.69	5.16	
13-14	120.38	452563.66	2873234.75	1766.56	Ê÷Ä¾	3.38	3.96	5.21	
13-14	120.38	452563.94	2873235.00	1766.95	Ê÷Ä¾	3.76	3.57	5.18	
13-14	120.29	452563.53	2873234.75	1766.54	Ê÷Ä¾	3.30	3.98	5.17	
13-14	120.23	452563.72	2873235.00	1766.71	Ê÷Ä¾	3.61	3.81	5.25	
13-14	121.96	452562.66	2873231.75	1765.30	µØÃæ	0.70	5.15	5.20	
13-14	121.91	452563.16	2873232.25	1765.33	µØÃæ	1.38	5.12	5.30	
13-14	122.00	452563.28	2873232.25	1765.76	µØÃæ	1.48	4.69	4.92	
13-14	121.96	452560.97	2873230.25	1764.03	µØÃæ	1.62	6.42	6.62	
13-14	121.83	452561.34	2873230.75	1764.19	µØÃæ	1.00	6.26	6.34	
13-14	121.83	452561.63	2873231.00	1764.54	µØÃæ	0.63	5.91	5.94	
13-14	121.69	452562.53	2873232.00	1765.22	µØÃæ	0.73	5.23	5.28	
13-14	121.69	452563.09	2873232.50	1765.45	µØÃæ	1.48	5.00	5.22	
13-14	121.67	452563.34	2873232.75	1765.65	µØÃæ	1.84	4.80	5.14	
13-14	121.64	452560.78	2873230.50	1764.24	µØÃæ	1.58	6.21	6.41	
13-14	121.54	452560.91	2873230.75	1764.51	µØÃæ	1.33	5.94	6.09	
13-14	121.48	452561.38	2873231.25	1764.73	µØÃæ	0.67	5.72	5.76	
13-14	121.58	452561.81	2873231.50	1765.04	µØÃæ	0.19	5.41	5.41	
13-14	121.46	452562.19	2873232.00	1765.36	µØÃæ	0.53	5.09	5.12	
13-14	121.48	452562.50	2873232.25	1765.45	µØÃæ	0.90	5.00	5.08	
13-14	121.33	452562.84	2873232.75	1765.74	µØÃæ	1.51	4.71	4.95	
13-14	121.46	452560.50	2873230.50	1764.19	µØÃæ	1.80	6.26	6.51	
13-14	121.46	452560.78	2873230.75	1764.25	µØÃæ	1.43	6.20	6.36	
13-14	121.46	452561.06	2873231.00	1764.37	µØÃæ	1.06	6.08	6.17	
13-14	121.40	452561.25	2873231.25	1764.55	µØÃæ	0.79	5.90	5.95	
13-14	121.33	452561.44	2873231.50	1764.85	µØÃæ	0.56	5.60	5.63	
13-14	121.42	452562.13	2873232.00	1765.25	µØÃæ	0.52	5.20	5.23	
13-14	121.21	452562.38	2873232.50	1765.35	µØÃæ	1.07	5.10	5.21	
13-14	121.21	452562.66	2873232.75	1765.42	µØÃæ	1.41	5.03	5.22	
13-14	121.23	452560.44	2873230.75	1763.97	µØÃæ	1.73	6.48	6.71	
13-14	121.21	452560.69	2873231.00	1764.20	µØÃæ	1.40	6.25	6.41	
13-14	121.17	452560.91	2873231.25	1764.54	µØÃæ	1.12	5.91	6.02	
13-14	121.00	452561.50	2873232.00	1765.00	µØÃæ	0.71	5.45	5.50	
13-14	121.08	452561.91	2873232.25	1765.06	µØÃæ	0.76	5.39	5.44	
13-14	121.02	452560.13	2873230.75	1764.26	µØÃæ	1.93	6.22	6.51	
13-14	121.89	452564.81	2873233.75	1766.99	Ê÷Ä¾	3.60	3.46	4.99	
13-14	121.60	452565.22	2873234.50	1767.75	Ê÷Ä¾	4.40	2.70	5.16	
13-14	121.19	452564.88	2873234.75	1767.84	Ê÷Ä¾	4.34	2.61	5.06	
13-14	121.91	452564.84	2873233.75	1766.49	Ê÷Ä¾	3.63	3.96	5.37	
13-14	121.10	452564.75	2873234.75	1767.02	Ê÷Ä¾	4.26	3.43	5.47	
13-14	121.04	452564.38	2873234.50	1766.73	Ê÷Ä¾	3.83	3.72	5.34	
13-14	121.89	452564.81	2873233.75	1766.99	Ê÷Ä¾	3.60	3.46	4.99	
13-14	121.60	452565.22	2873234.50	1767.75	Ê÷Ä¾	4.40	2.70	5.16	
13-14	121.19	452564.88	2873234.75	1767.84	Ê÷Ä¾	4.34	2.61	5.06	
13-14	121.91	452564.84	2873233.75	1766.49	Ê÷Ä¾	3.63	3.96	5.37	
13-14	121.10	452564.75	2873234.75	1767.02	Ê÷Ä¾	4.26	3.43	5.47	
13-14	121.04	452564.38	2873234.50	1766.73	Ê÷Ä¾	3.83	3.72	5.34	
13-14	122.99	452563.66	2873231.25	1765.22	µØÃæ	1.01	5.03	5.13	
13-14	122.97	452564.19	2873231.75	1765.65	µØÃæ	1.73	4.60	4.91	
13-14	122.91	452562.13	2873230.00	1764.45	µØÃæ	1.00	5.80	5.89	
13-14	122.79	452563.63	2873231.50	1765.55	µØÃæ	1.13	4.70	4.83	
13-14	122.77	452564.16	2873232.00	1765.87	µØÃæ	1.86	4.38	4.76	
13-14	122.75	452561.31	2873229.50	1764.48	µØÃæ	1.93	5.77	6.08	
13-14	122.75	452561.59	2873229.75	1764.55	µØÃæ	1.55	5.70	5.91	
13-14	122.66	452562.03	2873230.25	1764.38	µØÃæ	0.90	5.87	5.94	
13-14	122.52	452562.94	2873231.25	1764.93	µØÃæ	0.52	5.32	5.35	
13-14	122.45	452563.13	2873231.50	1765.16	µØÃæ	0.83	5.09	5.16	
13-14	122.56	452563.56	2873231.75	1765.39	µØÃæ	1.27	4.86	5.02	
13-14	122.45	452563.97	2873232.25	1765.48	µØÃæ	1.91	4.77	5.14	
13-14	122.41	452561.38	2873230.00	1764.53	µØÃæ	1.59	5.72	5.94	
13-14	122.39	452561.91	2873230.50	1764.55	µØÃæ	0.91	5.70	5.77	
13-14	122.33	452562.09	2873230.75	1764.74	µØÃæ	0.69	5.51	5.55	
13-14	122.41	452562.78	2873231.25	1765.12	µØÃæ	0.50	5.13	5.15	
13-14	122.25	452563.09	2873231.75	1765.22	µØÃæ	1.05	5.03	5.14	
13-14	122.33	452563.22	2873231.75	1765.57	µØÃæ	1.09	4.68	4.81	
13-14	122.35	452563.53	2873232.00	1765.52	µØÃæ	1.46	4.73	4.95	
13-14	122.27	452563.69	2873232.25	1765.75	µØÃæ	1.75	4.50	4.83	
13-14	122.10	452561.75	2873230.75	1764.48	µØÃæ	1.03	5.77	5.86	
13-14	122.21	452561.91	2873230.75	1764.68	µØÃæ	0.88	5.57	5.64	
13-14	122.12	452562.06	2873231.00	1764.93	µØÃæ	0.76	5.32	5.37	
13-14	122.81	452565.91	2873233.50	1767.27	Ê÷Ä¾	4.16	2.98	5.12	
13-14	122.58	452565.84	2873233.75	1767.58	Ê÷Ä¾	4.29	2.67	5.05	
13-14	122.39	452563.03	2873231.50	1766.28	Ê÷Ä¾	0.79	3.97	4.05	
13-14	122.06	452565.06	2873233.75	1766.86	Ê÷Ä¾	3.77	3.39	5.07	
13-14	122.97	452565.88	2873233.25	1766.40	Ê÷Ä¾	3.98	3.85	5.54	
13-14	122.81	452565.63	2873233.25	1766.29	Ê÷Ä¾	3.79	3.96	5.48	
13-14	122.62	452565.91	2873233.75	1767.10	Ê÷Ä¾	4.33	3.15	5.36	
13-14	122.25	452565.34	2873233.75	1766.45	Ê÷Ä¾	3.95	3.80	5.48	
13-14	122.02	452565.00	2873233.75	1766.28	Ê÷Ä¾	3.73	3.97	5.45	
13-14	122.81	452565.91	2873233.50	1767.27	Ê÷Ä¾	4.16	2.98	5.12	
13-14	122.58	452565.84	2873233.75	1767.58	Ê÷Ä¾	4.29	2.67	5.05	
13-14	122.39	452563.03	2873231.50	1766.28	Ê÷Ä¾	0.79	3.97	4.05	
13-14	122.06	452565.06	2873233.75	1766.86	Ê÷Ä¾	3.77	3.39	5.07	
13-14	122.97	452565.88	2873233.25	1766.40	Ê÷Ä¾	3.98	3.85	5.54	
13-14	122.81	452565.63	2873233.25	1766.29	Ê÷Ä¾	3.79	3.96	5.48	
13-14	122.62	452565.91	2873233.75	1767.10	Ê÷Ä¾	4.33	3.15	5.36	
13-14	122.25	452565.34	2873233.75	1766.45	Ê÷Ä¾	3.95	3.80	5.48	
13-14	122.02	452565.00	2873233.75	1766.28	Ê÷Ä¾	3.73	3.97	5.45	
13-14	123.74	452564.78	2873231.25	1765.57	µØÃæ	1.98	4.64	5.04	
13-14	123.78	452562.03	2873228.75	1764.46	µØÃæ	1.75	5.75	6.01	
13-14	123.85	452562.41	2873229.00	1764.37	µØÃæ	1.31	5.84	5.98	
13-14	123.76	452562.56	2873229.25	1764.66	µØÃæ	1.02	5.55	5.64	
13-14	123.82	452562.94	2873229.50	1764.79	µØÃæ	0.59	5.42	5.45	
13-14	123.62	452563.47	2873230.25	1764.96	µØÃæ	0.33	5.25	5.26	
13-14	123.64	452561.81	2873228.75	1764.25	µØÃæ	1.90	5.96	6.26	
13-14	123.60	452562.03	2873229.00	1764.30	µØÃæ	1.58	5.91	6.12	
13-14	123.55	452562.25	2873229.25	1764.40	µØÃæ	1.25	5.81	5.94	
13-14	123.58	452562.56	2873229.50	1764.74	µØÃæ	0.85	5.47	5.54	
13-14	123.51	452562.75	2873229.75	1764.87	µØÃæ	0.56	5.34	5.37	
13-14	123.33	452563.88	2873231.00	1765.43	µØÃæ	1.18	4.78	4.92	
13-14	123.45	452564.34	2873231.25	1765.32	µØÃæ	1.66	4.89	5.16	
13-14	123.39	452561.72	2873229.00	1764.17	µØÃæ	1.83	6.04	6.31	
13-14	123.53	452561.94	2873229.00	1764.28	µØÃæ	1.65	5.93	6.16	
13-14	123.49	452562.16	2873229.25	1764.62	µØÃæ	1.33	5.59	5.75	
13-14	123.37	452562.53	2873229.75	1764.78	µØÃæ	0.76	5.43	5.48	
13-14	123.31	452563.84	2873231.00	1765.26	µØÃæ	1.16	4.95	5.08	
13-14	123.24	452564.31	2873231.50	1765.57	µØÃæ	1.84	4.64	4.99	
13-14	123.24	452561.50	2873229.00	1764.22	µØÃæ	1.71	6.30	6.53	
13-14	123.20	452561.72	2873229.25	1764.40	µØÃæ	1.71	5.81	6.05	
13-14	123.16	452561.94	2873229.50	1764.64	µØÃæ	1.40	5.57	5.74	
13-14	123.24	452562.34	2873229.75	1764.86	µØÃæ	0.94	5.35	5.43	
13-14	123.12	452561.31	2873229.00	1764.14	µØÃæ	1.88	6.38	6.65	
13-14	123.10	452561.84	2873229.50	1764.44	µØÃæ	1.49	5.77	5.96	
13-14	123.89	452565.00	2873231.25	1766.42	Ê÷Ä¾	2.15	3.79	4.36	
13-14	123.82	452565.75	2873232.00	1766.72	Ê÷Ä¾	3.20	3.49	4.74	
13-14	123.84	452565.78	2873232.00	1767.49	Ê÷Ä¾	3.23	2.72	4.22	
13-14	123.68	452564.41	2873231.00	1766.29	Ê÷Ä¾	1.53	3.92	4.21	
13-14	123.64	452564.63	2873231.25	1766.62	Ê÷Ä¾	1.86	3.59	4.04	
13-14	123.47	452565.50	2873232.25	1766.65	Ê÷Ä¾	3.18	3.56	4.77	
13-14	123.47	452563.81	2873230.75	1766.30	Ê÷Ä¾	0.94	3.91	4.02	
13-14	123.37	452565.06	2873232.00	1766.29	Ê÷Ä¾	2.70	3.92	4.76	
13-14	123.30	452566.09	2873233.00	1766.90	Ê÷Ä¾	4.13	3.31	5.30	
13-14	123.14	452566.13	2873233.25	1767.31	Ê÷Ä¾	4.34	2.90	5.22	
13-14	123.95	452566.78	2873232.75	1766.34	Ê÷Ä¾	4.48	3.87	5.92	
13-14	123.74	452566.47	2873232.75	1766.35	Ê÷Ä¾	4.23	3.86	5.73	
13-14	123.12	452566.09	2873233.25	1766.42	Ê÷Ä¾	4.32	3.79	5.75	
13-14	123.89	452565.00	2873231.25	1766.42	Ê÷Ä¾	2.15	3.79	4.36	
13-14	123.82	452565.75	2873232.00	1766.72	Ê÷Ä¾	3.20	3.49	4.74	
